"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","964","865.16666666667","968.83333333333","1004.5","974.16666666667","973.16666666667","15.166666666667","19.5","22.166666666667","15.666666666667","4.8333333333333","6.1666666666667"
"E2","925.83333333333","941","610","889.5","700.16666666667","762","22","9","8.1666666666667","18.5","3.1666666666667","6.3333333333333"
"E3","982.83333333333","1001.5","845.83333333333","755.16666666667","870.83333333333","703.33333333333","8.1666666666667","7.6666666666667","4.1666666666667","5.5","3.3333333333333","3.6666666666667"
"E4","941.33333333333","852.16666666667","848.33333333333","678.66666666667","918.33333333333","765.33333333333","16.5","17.333333333333","9.5","15.333333333333","5.3333333333333","4.5"
"E5","951.16666666667","7","969.33333333333","876.83333333333","953.5","779.16666666667","20.333333333333","16.5","13","15","5.6666666666667","7.5"
"E6","983.83333333333","941.5","836","890.33333333333","940.5","898.66666666667","15","14.833333333333","10","12","2.6666666666667","4.1666666666667"
"E7","142.33333333333","91.5","477","584","698","943.83333333333","10.5","6.8333333333333","7.1666666666667","8.5","3.5","1.5"
"E8","898.33333333333","4.8333333333333","895.33333333333","802.33333333333","928.16666666667","782.66666666667","15.666666666667","9.3333333333333","17.333333333333","16","4.3333333333333","4.6666666666667"
"E9","924.33333333333","946.83333333333","758.66666666667","957.66666666667","954.83333333333","954.16666666667","8.5","4.3333333333333","10.166666666667","4.8333333333333","2.6666666666667","2.8333333333333"
"E10","428.16666666667","0.33333333333333","451.33333333333","822.33333333333","712.66666666667","941.5","9.3333333333333","14.666666666667","17.833333333333","9","5.6666666666667","2.6666666666667"
"E11","944","946.33333333333","645.16666666667","967","925.5","923.5","7.1666666666667","9.1666666666667","9.6666666666667","4","5.1666666666667","2.8333333333333"
"E12","658.5","0.5","727","928.16666666667","950.5","959.5","4.3333333333333","7.5","6.6666666666667","4.8333333333333","3","3.3333333333333"
"E13","663.83333333333","0.83333333333333","900.83333333333","978.83333333333","979","966.83333333333","11.833333333333","14.666666666667","8.3333333333333","2.6666666666667","4","3.1666666666667"